  38    0.984665E-01    0.955153E-01    0.900693E-03    0.151760E-01    0.214549E+01    0.325599E-01    0.227640E-01   -0.159225E-03    0.739160E+02
  39    0.104745E+00    0.101606E+00    0.103225E-02    0.154660E-01    0.202892E+01    0.313792E-01    0.231990E-01   -0.193760E-03    0.752938E+02
  40    0.111424E+00    0.108085E+00    0.118179E-02    0.157507E-01    0.191592E+01    0.301771E-01    0.236260E-01   -0.230059E-03    0.767788E+02
  41    0.118529E+00    0.114977E+00    0.135152E-02    0.160291E-01    0.180649E+01    0.289564E-01    0.240437E-01   -0.268187E-03    0.783805E+02
  42    0.126087E+00    0.122308E+00    0.154385E-02    0.163002E-01    0.170059E+01    0.277200E-01    0.244503E-01   -0.308208E-03    0.801094E+02
  43    0.134127E+00    0.130107E+00    0.176144E-02    0.165628E-01    0.159823E+01    0.264712E-01    0.248442E-01   -0.350184E-03    0.819773E+02
  44    0.142680E+00    0.138403E+00    0.200717E-02    0.168157E-01    0.149941E+01    0.252135E-01    0.252235E-01   -0.394178E-03    0.839969E+02
  45    0.151778E+00    0.147229E+00    0.228416E-02    0.170576E-01    0.140411E+01    0.239508E-01    0.255865E-01   -0.440248E-03    0.861827E+02
  46    0.161456E+00    0.156617E+00    0.259580E-02    0.172874E-01    0.131234E+01    0.226870E-01    0.259312E-01   -0.488454E-03    0.885506E+02
  47    0.171751E+00    0.166603E+00    0.294571E-02    0.175038E-01    0.122411E+01    0.214265E-01    0.262557E-01   -0.538848E-03    0.911182E+02
  48    0.182703E+00    0.177227E+00    0.333777E-02    0.177053E-01    0.113940E+01    0.201735E-01    0.265580E-01   -0.591482E-03    0.939052E+02
  49    0.194353E+00    0.188528E+00    0.377609E-02    0.178908E-01    0.105823E+01    0.189325E-01    0.268362E-01   -0.646403E-03    0.969339E+02
  50    0.206746E+00    0.200549E+00    0.426501E-02    0.180589E-01    0.980585E+00    0.177083E-01    0.270883E-01   -0.703655E-03    0.100229E+03
  51    0.219929E+00    0.213337E+00    0.480907E-02    0.182082E-01    0.906468E+00    0.165052E-01    0.273123E-01   -0.763307E-03    0.103817E+03
  52    0.233952E+00    0.226941E+00    0.541296E-02    0.183376E-01    0.835868E+00    0.153278E-01    0.275064E-01   -0.825289E-03    0.107731E+03
  53    0.248870E+00    0.241411E+00    0.608155E-02    0.184457E-01    0.768772E+00    0.141805E-01    0.276685E-01   -0.889731E-03    0.112004E+03
  54    0.264740E+00    0.256805E+00    0.681977E-02    0.185314E-01    0.705159E+00    0.130676E-01    0.277971E-01   -0.956615E-03    0.116676E+03
  55    0.281621E+00    0.273180E+00    0.763260E-02    0.185936E-01    0.645006E+00    0.119930E-01    0.278904E-01   -0.102595E-02    0.121791E+03
  56    0.299578E+00    0.290599E+00    0.852500E-02    0.186312E-01    0.588276E+00    0.109603E-01    0.279468E-01   -0.109775E-02    0.127400E+03
  57    0.318681E+00    0.309129E+00    0.950180E-02    0.186433E-01    0.534930E+00    0.997288E-02    0.279650E-01   -0.117199E-02    0.133558E+03
  58    0.339001E+00    0.328841E+00    0.105677E-01    0.186292E-01    0.484915E+00    0.903356E-02    0.279437E-01   -0.124867E-02    0.140330E+03
  59    0.360618E+00    0.349809E+00    0.117271E-01    0.185880E-01    0.438172E+00    0.814474E-02    0.278820E-01   -0.132776E-02    0.147789E+03
  60    0.383612E+00    0.372115E+00    0.129840E-01    0.185193E-01    0.394630E+00    0.730828E-02    0.277790E-01   -0.140922E-02    0.156017E+03
  61    0.408073E+00    0.395843E+00    0.143421E-01    0.184228E-01    0.354210E+00    0.652552E-02    0.276341E-01   -0.149302E-02    0.165110E+03
  62    0.434094E+00    0.421084E+00    0.158043E-01    0.182981E-01    0.316821E+00    0.579723E-02    0.274472E-01   -0.157909E-02    0.175174E+03
